evidence_layer,data_role,arm,seed,n_images,PFFD10_train_scaled,FID_InceptionV3_Mixed6e_768,KID_InceptionV3_Mixed6e_768,radial_log_power_l1_mean,laplacian_variance_absolute_difference_mean,centroid_distance_to_inherited_bbox_center_mean,bright_bbox_width_absolute_error_mean,bright_bbox_height_absolute_error_mean,memorization_screen_flag_count,memorization_screen_flag_rate,exact_train_or_flip_count,feature_min_mean,nearest_reference_ssim_max,phash_minimum,source_array_sha256,test_payload_accessed
N2_NEW_STUDY,validation,NP,61001,1024,4.6607808948816825,0.579307114907383,0.0011631416732766908,0.6303420163549049,0.004533409148901171,0.07169879885107994,0.06650472005208334,0.075040283203125,0,0.0,0,0.029977127475823845,0.9867857756640199,0,ee6b2af076b34d2e76cd30d669d2a2e1815af0a1b828d573755bae58f86066d1,False
N2_NEW_STUDY,validation,NP,61002,1024,4.307192338607141,0.6260227965059121,0.0013452999622844963,0.631542854204316,0.004593479089082284,0.07190496146603602,0.06768839518229167,0.08738382975260417,0,0.0,0,0.0354088477272918,0.9804391097565327,0,369de7a7ec328ebdaea5a28338b52d3931deba4031e3bfeed2e251331a40576a,False
N2_NEW_STUDY,validation,NP,61003,1024,4.465034651298671,0.6733074472537731,0.0013063539168003402,0.6095472184675899,0.00461543935336035,0.07133443110008345,0.06564270019531249,0.08029622395833333,0,0.0,0,0.040778760272958174,0.9804693479068781,0,7d9f30a91581116f132d8800f54e629e053c1f2f18ab849b075a274d88ea0afe,False
N2_NEW_STUDY,validation,NP,61004,1024,4.960352914611995,0.589947759172224,0.0012046553277649252,0.6104155502791373,0.0045362318647894345,0.06944200756395776,0.06649719238281249,0.07346394856770833,0,0.0,0,0.04138956586108234,0.9792872862746401,0,b080f4eecccc15f39653ec766a0e138c47519f8a636a1af0a31afe360e05dcb6,False
N2_NEW_STUDY,validation,NP,61005,1024,4.370576990199794,0.6045890419452931,0.0012072431304885889,0.6338039946333198,0.004506525542022734,0.06982861753835756,0.07045878092447916,0.08278137207031251,0,0.0,0,0.03575502090812756,0.9850658119947392,0,61861ac7e8bba8a55ef5f8be0b6ca3da4c201568e553343ae210b32c6b5d6c06,False
N2_NEW_STUDY,validation,NP,61006,1024,4.510325876150416,0.6233702273537909,0.0012761562381009561,0.6553365962221592,0.0044504510233682164,0.07194909370507292,0.07175028483072918,0.0837811279296875,0,0.0,0,0.030193447030629948,0.9806883763987018,0,5c01d6d7fa19795598c7eab2b86ce1fad76c10dab9155191e8ac8fd80f4b626a,False
N2_NEW_STUDY,validation,NP,61007,1024,4.417992403616122,0.5828089803558665,0.0011841982794669192,0.6284228071110832,0.004536338108677671,0.07295127342806998,0.06788106282552084,0.08019307454427084,0,0.0,0,0.0314145395036314,0.984798506947675,0,46c7bfb991f224336a5b68301ebabc2228a4904305d1d4408556320384ac4b68,False
N2_NEW_STUDY,validation,NP,61008,1024,4.654920168601906,0.5806087629153583,0.0011526925419982348,0.6315388803316628,0.004501241789946332,0.07097090412449843,0.07006408691406249,0.0815887451171875,0,0.0,0,0.026333444843625268,0.9850627973622572,0,0d771459c3d4f583da167237432809d176e34b3b5711e2c8a5e02966b19fdd87,False
N2_NEW_STUDY,validation,NP,61009,1024,4.730090633549947,0.6714508976952251,0.0014131578319309668,0.6513718742005885,0.004555062484239636,0.07036708769051216,0.07152587890625,0.08085530598958333,0,0.0,0,0.036463025488030223,0.9818013833390546,0,eac280d494f53f895a4d30054ef8ead6e5acc5808f424d91c66fc52db2d80465,False
N2_NEW_STUDY,validation,NP,61010,1024,4.572555736005629,0.5668966768741293,0.001129835694450243,0.6371101048730737,0.004520103798282964,0.0701479659260098,0.0681549072265625,0.07689676920572916,0,0.0,0,0.025369587938071397,0.9882198079410546,0,819d8d93e800d0c72713ecfef5d6481846cd8401e1dc29b88364f54e5c12cacc,False
N2_NEW_STUDY,validation,NS,61001,1024,4.622740454014176,0.6193708578910279,0.0012916794489550298,0.588408451456273,0.004537997406403227,0.07494276534771144,0.07160074869791666,0.09611063639322917,0,0.0,0,0.02873973973014373,0.9799916402178769,0,d96cc762f297976dea352209d4c2e46a41f31f61bb13ccaf93c2d6b891385ded,False
