COCO_AP,COCO_AP50,COCO_AP75,COCO_AP_large,COCO_AP_medium,COCO_AP_small,COCO_AR100,COCO_images,elapsed_seconds,gradient_norm_before_clip,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,loss_total,row_type,update
,,,,,,,,0.15595039998879656,1.264553427696228,0.06700459867715836,0.02699897065758705,0.013146515004336834,0.03084821254014969,0.1379982978105545,training,32
,,,,,,,,0.13659149999148212,6.711703777313232,0.09972859919071198,0.05920210853219032,0.04666537046432495,0.03915828466415405,0.244754359126091,training,33
,,,,,,,,0.14370240000425838,2.0641682147979736,0.07025505602359772,0.05072902515530586,0.007471773773431778,0.026423543691635132,0.1548793911933899,training,34
,,,,,,,,0.14303810001001693,0.8886145353317261,0.07516604661941528,0.02608051896095276,0.006546579301357269,0.0119664017111063,0.11975954473018646,training,35
,,,,,,,,0.14336409998941235,1.4700570106506348,0.04756557568907738,0.020647581666707993,0.019218988716602325,0.018092606216669083,0.10552474856376648,training,36
,,,,,,,,0.14354439999442548,1.0641419887542725,0.08339081704616547,0.036597996950149536,0.008007636293768883,0.013413824141025543,0.14141026139259338,training,37
,,,,,,,,0.1441179999965243,3.0826263427734375,0.050475575029850006,0.020557504147291183,0.025538628920912743,0.048378244042396545,0.14494994282722473,training,38
,,,,,,,,0.10889540001517162,1.257274866104126,0.06142459064722061,0.01788351684808731,0.021317752078175545,0.028468012809753418,0.12909387052059174,training,39
,,,,,,,,0.10854019998805597,2.3477320671081543,0.06510329991579056,0.022809786722064018,0.008924152702093124,0.0353919118642807,0.13222914934158325,training,40
,,,,,,,,0.16434299998218194,0.98297518491745,0.08643648028373718,0.04032249003648758,0.007540117483586073,0.0023180812131613493,0.13661716878414154,training,41
,,,,,,,,0.14744109997991472,4.276334762573242,0.04163948446512222,0.017638524994254112,0.03879447281360626,0.13561926782131195,0.2336917519569397,training,42
,,,,,,,,0.14589869999326766,1.1293178796768188,0.11529678851366043,0.04726828634738922,0.0038874363526701927,0.01072788517922163,0.17718039453029633,training,43
,,,,,,,,0.1419082999927923,1.7068653106689453,0.11766301095485687,0.05721079558134079,0.0076783099211752415,0.001998612890020013,0.18455073237419128,training,44
,,,,,,,,0.14684919998398982,2.6600074768066406,0.056844308972358704,0.018359409645199776,0.017915476113557816,0.049384839832782745,0.1425040364265442,training,45
,,,,,,,,0.14397179998923093,0.7675607204437256,0.05413982272148132,0.02755795419216156,0.009848503395915031,0.010995535179972649,0.10254181921482086,training,46
,,,,,,,,0.14134559998637997,1.1237486600875854,0.08454449474811554,0.029492534697055817,0.007155449595302343,0.0017933286726474762,0.12298581004142761,training,47
,,,,,,,,0.11004810000304133,4.295493125915527,0.04201824590563774,0.01640530489385128,0.03593055158853531,0.0538838729262352,0.14823797345161438,training,48
,,,,,,,,0.10808459998224862,2.096676826477051,0.09798574447631836,0.0337161049246788,0.01883181370794773,0.029724230989813805,0.1802579015493393,training,49
,,,,,,,,0.15656269999453798,1.9124653339385986,0.06435041129589081,0.022206202149391174,0.017610646784305573,0.027772147208452225,0.13193941116333008,training,50
0.3015613319846799,0.6379781429164572,0.25136352849380267,0.07495833096512865,0.04262636789994789,0.36448597693396684,0.45625,64,1.3112101000151597,,,,,,,validation,50
,,,,,,,,0.1293673000182025,1.3092734813690186,0.04329962283372879,0.013833645731210709,0.010319652035832405,0.022378649562597275,0.08983157575130463,training,51
,,,,,,,,0.10798169998452067,1.1798568964004517,0.06785658001899719,0.01759420335292816,0.009137382730841637,0.009628274478018284,0.10421644151210785,training,52
,,,,,,,,0.13923760000034235,1.0444318056106567,0.060257572680711746,0.02198847010731697,0.002531063975766301,0.011246446520090103,0.0960235595703125,training,53
,,,,,,,,0.14709980000043288,1.2114520072937012,0.04776310920715332,0.018823031336069107,0.009995265863835812,0.014665249735116959,0.09124664962291718,training,54
,,,,,,,,0.14311979999183677,2.0698912143707275,0.05583564192056656,0.017855335026979446,0.013592041097581387,0.03407259285449982,0.12135561555624008,training,55
,,,,,,,,0.14960559998871759,2.109438896179199,0.04466112703084946,0.014810806140303612,0.008882567286491394,0.022652558982372284,0.0910070613026619,training,56
,,,,,,,,0.14659210000536405,1.3792306184768677,0.059648267924785614,0.03634228557348251,0.006540886592119932,0.029530862346291542,0.13206230103969574,training,57
,,,,,,,,0.14447650001966394,0.8031326532363892,0.052686356008052826,0.020824948325753212,0.005934456363320351,0.001991607015952468,0.0814373642206192,training,58
,,,,,,,,0.142768799996702,1.750637173652649,0.09440717101097107,0.04244394227862358,0.00481365155428648,0.03316498547792435,0.17482975125312805,training,59
,,,,,,,,0.14891540000098757,5.294620990753174,0.04076170176267624,0.013869965448975563,0.01492055132985115,0.06429297477006912,0.13384518027305603,training,60
,,,,,,,,0.14069940001354553,1.0988255739212036,0.06607354432344437,0.0202656053006649,0.0014449030859395862,0.018194876611232758,0.10597892850637436,training,61
,,,,,,,,0.14718959998572245,1.6230322122573853,0.04790347069501877,0.016776401549577713,0.0031599896028637886,0.026308074593544006,0.0941479429602623,training,62
,,,,,,,,0.14573710001423024,1.7327531576156616,0.10588100552558899,0.060198958963155746,0.0025796773843467236,0.0002875193895306438,0.16894716024398804,training,63
,,,,,,,,0.10909209999954328,1.8455452919006348,0.08418008685112,0.03381690755486488,0.012576501816511154,0.021227026358246803,0.15180052816867828,training,64
,,,,,,,,0.10801060000085272,1.412717342376709,0.04627944156527519,0.010801801458001137,0.0038942410610616207,0.02281980961561203,0.08379529416561127,training,65
,,,,,,,,0.14267390000168234,2.3636956214904785,0.033962614834308624,0.01131434366106987,0.006072331219911575,0.034367166459560394,0.08571645617485046,training,66
,,,,,,,,0.1337109000014607,0.9339134693145752,0.044742897152900696,0.015028206631541252,0.005629613064229488,0.008797744289040565,0.07419846206903458,training,67
,,,,,,,,0.14539849999709986,3.169987440109253,0.05624249950051308,0.025074588134884834,0.026427287608385086,0.039847493171691895,0.14759187400341034,training,68
,,,,,,,,0.1459255999943707,3.2999958992004395,0.059442274272441864,0.021636243909597397,0.01268138736486435,0.034278154373168945,0.12803804874420166,training,69
,,,,,,,,0.14597909999429248,1.025090217590332,0.044212013483047485,0.015420408919453621,0.005455787293612957,0.014138334430754185,0.0792265385389328,training,70
,,,,,,,,0.1467238999903202,1.1776047945022583,0.05105379968881607,0.02833767980337143,0.012640075758099556,0.010262195020914078,0.10229374468326569,training,71
,,,,,,,,0.14063320000423118,1.0991969108581543,0.059676483273506165,0.02564568631350994,0.004591580014675856,0.01597149856388569,0.10588524490594864,training,72
,,,,,,,,0.14323220000369474,2.4606409072875977,0.07118839025497437,0.05410335212945938,0.03011045977473259,0.0012844445882365108,0.15668664872646332,training,73
,,,,,,,,0.145576799986884,1.5474796295166016,0.0457325205206871,0.019401807337999344,0.011969546787440777,0.02662990801036358,0.10373378545045853,training,74
,,,,,,,,0.14141579999704845,0.7780231833457947,0.03358003869652748,0.013254090212285519,0.0007146797724999487,0.003037563990801573,0.05058637261390686,training,75
,,,,,,,,0.14515550000942312,2.250732660293579,0.03612223267555237,0.013050764799118042,0.01116740982979536,0.024339264258742332,0.08467967063188553,training,76
,,,,,,,,0.11036269998294301,0.842781126499176,0.04909452050924301,0.020283259451389313,0.0013517274055629969,0.001936157001182437,0.07266566902399063,training,77
